sample_id,top_3_train_indices
TR-1964,"[1898, 1500, 1940]"
TR-1965,"[7280, 1062, 3457]"
TR-1966,"[280, 645, 7827]"
TR-1967,"[3760, 1379, 7533]"
TR-1968,"[1314, 889, 1080]"
TR-1969,"[2736, 5734, 8621]"
TR-1970,"[3462, 6531, 3592]"
TR-1971,"[6170, 6497, 7587]"
TR-1972,"[5923, 1776, 1830]"
TR-1973,"[1697, 7519, 4796]"
TR-1974,"[7394, 1144, 2849]"
TR-1975,"[164, 7793, 5407]"
TR-1976,"[2100, 3362, 4437]"
TR-1977,"[2522, 6960, 3665]"
TR-1978,"[533, 1603, 665]"
TR-1979,"[256, 3503, 1111]"
TR-1980,"[8458, 6334, 7792]"
TR-1981,"[5341, 975, 6361]"
TR-1982,"[1473, 7915, 7375]"
TR-1983,"[1233, 651, 2963]"
TR-1984,"[1936, 8595, 597]"
TR-1985,"[1472, 7900, 746]"
TR-1986,"[2118, 2168, 2159]"
TR-1987,"[3601, 7331, 8537]"
TR-1988,"[5571, 4214, 2829]"
TR-1989,"[8426, 5396, 8321]"
TR-1990,"[818, 1128, 302]"
TR-1991,"[6408, 2393, 7133]"
TR-1992,"[5194, 5235, 4037]"
TR-1993,"[1953, 2871, 1481]"
TR-1994,"[1911, 1799, 6742]"
TR-1995,"[7033, 2626, 2676]"
TR-1996,"[575, 3238, 6140]"
TR-1997,"[6646, 3638, 8125]"
TR-1998,"[375, 3636, 2011]"
TR-1999,"[8352, 7633, 154]"
TR-2000,"[3086, 3126, 1785]"
TR-2001,"[6938, 3499, 5353]"
TR-2002,"[2318, 2304, 5308]"
TR-2003,"[7502, 2568, 7136]"
TR-2004,"[3067, 2218, 8486]"
TR-2005,"[1388, 656, 6808]"
TR-2006,"[7505, 2135, 2814]"
TR-2007,"[2184, 5939, 2600]"
TR-2008,"[2371, 2326, 1616]"
TR-2009,"[1915, 1163, 1605]"
TR-2010,"[7347, 8639, 8079]"
TR-2011,"[1487, 1035, 830]"
TR-2012,"[4375, 1264, 4216]"
TR-2013,"[3341, 5616, 3675]"
TR-2014,"[8338, 2480, 3321]"
TR-2015,"[7958, 2559, 2792]"
TR-2016,"[623, 7375, 8372]"
TR-2017,"[8043, 7443, 2994]"
TR-2018,"[6018, 3187, 7445]"
TR-2019,"[8276, 8259, 2317]"
TR-2020,"[396, 4271, 2302]"
TR-2021,"[3420, 7954, 5298]"
TR-2022,"[3415, 8702, 346]"
TR-2023,"[7448, 8335, 8208]"
TR-2024,"[1807, 7147, 3056]"
TR-2025,"[6798, 7025, 7853]"
TR-2026,"[2232, 7821, 7254]"
TR-2027,"[4034, 8130, 5911]"
TR-2028,"[6314, 2463, 3519]"
TR-2029,"[6338, 8116, 7383]"
TR-2030,"[6328, 3303, 2769]"
TR-2031,"[4391, 4141, 3937]"
TR-2032,"[7112, 7368, 6313]"
TR-2033,"[7407, 3418, 4461]"
TR-2034,"[664, 3622, 2955]"
TR-2035,"[2438, 8504, 1937]"
TR-2036,"[5936, 4336, 5749]"
TR-2037,"[2817, 4707, 2951]"
TR-2038,"[1218, 202, 4945]"
TR-2039,"[7154, 7134, 6983]"
TR-2040,"[7482, 5257, 5558]"
TR-2041,"[8393, 2877, 6042]"
TR-2042,"[7415, 7140, 5223]"
TR-2043,"[5478, 1844, 3209]"
TR-2044,"[5399, 1367, 7302]"
TR-2045,"[460, 1013, 4547]"
TR-2046,"[3086, 1937, 8501]"
TR-2047,"[3681, 8730, 3033]"
TR-2048,"[8053, 7778, 2117]"
TR-2049,"[8390, 1347, 7460]"
TR-2050,"[823, 63, 1067]"
TR-2051,"[1535, 173, 5765]"
TR-2052,"[7909, 4703, 961]"
TR-2053,"[6154, 2132, 5543]"
TR-2054,"[4425, 6605, 7035]"
TR-2055,"[3488, 5478, 3209]"
TR-2056,"[3524, 1854, 3126]"
TR-2057,"[7209, 1195, 5600]"
TR-2058,"[4551, 4003, 3725]"
TR-2059,"[4716, 8109, 8099]"
TR-2060,"[7104, 7170, 7173]"
TR-2061,"[5560, 81, 8328]"
TR-2062,"[7245, 2184, 7568]"
TR-2063,"[3474, 6815, 6087]"
TR-2064,"[622, 1941, 382]"
TR-2065,"[7240, 7407, 7235]"
TR-2066,"[1895, 934, 931]"
TR-2067,"[2177, 2300, 645]"
TR-2068,"[7200, 6730, 341]"
TR-2069,"[2963, 3592, 6937]"
TR-2070,"[1893, 254, 6387]"
TR-2071,"[362, 1064, 425]"
TR-2072,"[294, 375, 1223]"
TR-2073,"[6792, 6204, 3495]"
TR-2074,"[1289, 6919, 693]"
TR-2075,"[2286, 6008, 7326]"
TR-2076,"[8090, 2719, 5321]"
TR-2077,"[5806, 232, 4442]"
TR-2078,"[2426, 205, 269]"
TR-2079,"[507, 3159, 7214]"
TR-2080,"[7363, 2625, 187]"
TR-2081,"[7244, 5858, 5297]"
TR-2082,"[1900, 1785, 3086]"
TR-2083,"[6210, 7605, 2090]"
TR-2084,"[2766, 5515, 1778]"
TR-2085,"[2196, 1695, 2229]"
TR-2086,"[1070, 1547, 490]"
TR-2087,"[2249, 7700, 6252]"
TR-2088,"[6858, 2882, 1710]"
TR-2089,"[5884, 7974, 8426]"
TR-2090,"[3958, 2324, 2349]"
TR-2091,"[7605, 1595, 1886]"
TR-2092,"[8131, 2898, 8535]"
TR-2093,"[7949, 5718, 185]"
TR-2094,"[6738, 2581, 980]"
TR-2095,"[2069, 7392, 4268]"
TR-2096,"[2344, 6947, 7534]"
TR-2097,"[2159, 1956, 2168]"
TR-2098,"[8102, 723, 4442]"
TR-2099,"[7900, 2581, 5201]"
TR-2100,"[1223, 7224, 375]"
TR-2101,"[2980, 1975, 3117]"
TR-2102,"[199, 44, 304]"
TR-2103,"[1174, 5629, 8412]"
TR-2104,"[3503, 5931, 586]"
TR-2105,"[2183, 5509, 3523]"
TR-2106,"[6691, 589, 942]"
TR-2107,"[7654, 2894, 7927]"
TR-2108,"[7368, 2328, 6477]"
TR-2109,"[1504, 5625, 7999]"
TR-2110,"[2263, 6809, 6880]"
TR-2111,"[5099, 1715, 6054]"
TR-2112,"[8480, 4369, 7071]"
TR-2113,"[3122, 6065, 2093]"
TR-2114,"[838, 1082, 7809]"
TR-2115,"[1092, 1119, 7008]"
TR-2116,"[4329, 4134, 7751]"
TR-2117,"[2356, 2298, 8460]"
TR-2118,"[5093, 7571, 7356]"
TR-2119,"[1985, 2168, 2096]"
TR-2120,"[1432, 744, 7874]"
TR-2121,"[1825, 1848, 1505]"
TR-2122,"[3578, 5319, 2952]"
TR-2123,"[7152, 6288, 2870]"
TR-2124,"[1176, 1304, 489]"
TR-2125,"[1854, 7688, 4706]"
TR-2126,"[236, 4523, 4448]"
TR-2127,"[1424, 1223, 2071]"
TR-2128,"[3346, 2358, 5842]"
TR-2129,"[3631, 2861, 2978]"
TR-2130,"[1800, 1382, 6285]"
TR-2131,"[2302, 3320, 3571]"
TR-2132,"[2707, 4527, 8099]"
TR-2133,"[1805, 8280, 7789]"
TR-2134,"[1956, 2298, 4706]"
TR-2135,"[3005, 1142, 1101]"
TR-2136,"[2814, 965, 5822]"
TR-2137,"[3059, 7878, 3451]"
TR-2138,"[1638, 6950, 1201]"
TR-2139,"[558, 1544, 4527]"
TR-2140,"[6152, 1465, 696]"
TR-2141,"[7176, 5482, 1572]"
TR-2142,"[4129, 4577, 4003]"
TR-2143,"[6807, 2274, 3212]"
TR-2144,"[7978, 2312, 5166]"
TR-2145,"[1533, 7007, 4364]"
TR-2146,"[5600, 6023, 7895]"
TR-2147,"[1812, 1935, 8349]"
TR-2148,"[8344, 32, 5599]"
TR-2149,"[263, 726, 228]"
TR-2150,"[1476, 4387, 4427]"
TR-2151,"[5659, 2912, 2488]"
TR-2152,"[1603, 8048, 1931]"
TR-2153,"[2173, 2219, 2683]"
TR-2154,"[5587, 7057, 459]"
TR-2155,"[1176, 1497, 1483]"
TR-2156,"[2796, 1812, 7366]"
TR-2157,"[1494, 1781, 2270]"
TR-2158,"[196, 107, 120]"
TR-2159,"[8775, 4511, 6346]"
TR-2160,"[2173, 2168, 2219]"
TR-2161,"[7627, 5482, 5625]"
TR-2162,"[4674, 604, 6700]"
TR-2163,"[693, 2073, 6919]"
TR-2164,"[2165, 8714, 7873]"
TR-2165,"[7039, 7079, 5185]"
TR-2166,"[2163, 8714, 7873]"
TR-2167,"[1175, 1212, 1397]"
TR-2168,"[4695, 2372, 4662]"
TR-2169,"[2159, 1985, 2173]"
TR-2170,"[1507, 3400, 2869]"
TR-2171,"[199, 44, 304]"
TR-2172,"[6268, 5309, 7332]"
TR-2173,"[592, 1178, 638]"
TR-2174,"[2219, 2178, 2152]"
TR-2175,"[3611, 5895, 8464]"
TR-2176,"[6018, 3187, 1601]"
TR-2177,"[2997, 6681, 692]"
TR-2178,"[2066, 2300, 645]"
TR-2179,"[2173, 2219, 2168]"
TR-2180,"[3382, 7622, 8750]"
TR-2181,"[5421, 6319, 110]"
TR-2182,"[5727, 3012, 8709]"
TR-2183,"[2244, 1312, 2202]"
TR-2184,"[3523, 946, 464]"
TR-2185,"[2061, 7245, 7568]"
TR-2186,"[2606, 3667, 4875]"
TR-2187,"[8328, 5560, 81]"
TR-2188,"[7302, 1659, 4392]"
TR-2189,"[3480, 1539, 4674]"
TR-2190,"[7319, 6988, 155]"
TR-2191,"[1737, 1657, 1959]"
TR-2192,"[3453, 2686, 8734]"
TR-2193,"[5163, 2142, 8670]"
TR-2194,"[1552, 5387, 7056]"
TR-2195,"[3540, 5924, 4519]"
TR-2196,"[99, 942, 8447]"
TR-2197,"[1695, 2084, 2229]"
TR-2198,"[199, 44, 304]"
TR-2199,"[6425, 2656, 4963]"
TR-2200,"[7816, 7878, 283]"
TR-2201,"[1013, 405, 2370]"
TR-2202,"[2202, 1825, 1848]"
TR-2203,"[2201, 1825, 1505]"
TR-2204,"[5198, 3706, 3383]"
TR-2205,"[5040, 1493, 7224]"
TR-2206,"[8694, 7650, 3996]"
TR-2207,"[5327, 833, 838]"
TR-2208,"[4543, 5953, 7674]"
TR-2209,"[2219, 2173, 2178]"
TR-2210,"[4573, 2375, 2563]"
TR-2211,"[7033, 4912, 4783]"
TR-2212,"[7734, 6758, 5188]"
TR-2213,"[217, 938, 3428]"
TR-2214,"[2682, 7810, 6171]"
TR-2215,"[7459, 6092, 7247]"
TR-2216,"[8414, 2340, 7008]"
TR-2217,"[2219, 6048, 2173]"
TR-2218,"[3703, 4550, 505]"
TR-2219,"[3067, 448, 3126]"
TR-2220,"[2173, 1956, 2178]"
TR-2221,"[247, 7229, 5172]"
TR-2222,"[3056, 6295, 1698]"
TR-2223,"[1803, 7958, 8043]"
TR-2224,"[5772, 444, 793]"
TR-2225,"[7824, 8114, 3107]"
TR-2226,"[7246, 3307, 3795]"
TR-2227,"[7847, 5666, 3793]"
TR-2228,"[3189, 4689, 4168]"
TR-2229,"[1333, 1624, 6814]"
TR-2230,"[2196, 2084, 1695]"
TR-2231,"[1130, 87, 2590]"
TR-2232,"[2481, 1762, 3218]"
TR-2233,"[156, 2025, 1064]"
TR-2234,"[3871, 3669, 2234]"
TR-2235,"[4431, 4629, 2233]"
TR-2236,"[2285, 2201, 2202]"
TR-2237,"[3211, 3550, 2810]"
TR-2238,"[8102, 2934, 8314]"
TR-2239,"[7753, 769, 5306]"
TR-2240,"[6487, 7262, 1684]"
TR-2241,"[7493, 1007, 4947]"
TR-2242,"[1001, 2060, 5560]"
TR-2243,"[2476, 7410, 8449]"
TR-2244,"[6976, 2864, 6607]"
TR-2245,"[2285, 3550, 2277]"
TR-2246,"[5331, 311, 3553]"
TR-2247,"[3825, 7450, 7310]"
TR-2248,"[5345, 6420, 678]"
TR-2249,"[1, 6592, 858]"
TR-2250,"[7181, 7588, 7542]"
TR-2251,"[3131, 841, 2346]"
TR-2252,"[2877, 2040, 2581]"
TR-2253,"[1921, 1541, 5139]"
TR-2254,"[1736, 1549, 1919]"
TR-2255,"[6436, 8348, 5240]"
TR-2256,"[3459, 6840, 6427]"
TR-2257,"[3607, 2966, 989]"
TR-2258,"[550, 2258, 7099]"
TR-2259,"[2257, 550, 7099]"
TR-2260,"[1798, 7254, 6818]"
TR-2261,"[7760, 1460, 7962]"
TR-2262,"[5627, 1634, 7981]"
TR-2263,"[8464, 5333, 5684]"
TR-2264,"[6809, 2109, 6880]"
TR-2265,"[6515, 5581, 5241]"
TR-2266,"[6193, 7700, 7370]"
TR-2267,"[7130, 1892, 7147]"
TR-2268,"[7249, 6889, 7833]"
TR-2269,"[1597, 3151, 6024]"
TR-2270,"[5507, 7847, 149]"
TR-2271,"[6955, 7364, 4499]"
TR-2272,"[1767, 8282, 7660]"
TR-2273,"[7702, 6639, 6445]"
TR-2274,"[505, 5531, 3056]"
TR-2275,"[1691, 1799, 8341]"
TR-2276,"[2277, 2281, 8114]"
TR-2277,"[569, 637, 806]"
TR-2278,"[4382, 2275, 2224]"
TR-2279,"[2275, 3197, 7696]"
TR-2280,"[2618, 1909, 974]"
TR-2281,"[5875, 7991, 8003]"
TR-2282,"[8114, 8107, 1790]"
TR-2283,"[2308, 5957, 7827]"
TR-2284,"[5224, 5877, 5548]"
TR-2285,"[7443, 6383, 1890]"
TR-2286,"[2202, 2201, 1505]"
TR-2287,"[2074, 6008, 3575]"
TR-2288,"[6096, 22, 0]"
TR-2289,"[5535, 5567, 6067]"
TR-2290,"[1509, 5303, 484]"
TR-2291,"[1103, 1518, 2537]"
TR-2292,"[3143, 6580, 3520]"
TR-2293,"[7504, 1741, 2723]"
TR-2294,"[6018, 5900, 7096]"
TR-2295,"[1929, 1563, 1930]"
TR-2296,"[8285, 2443, 6228]"
TR-2297,"[5120, 2272, 6817]"
TR-2298,"[323, 954, 2624]"
TR-2299,"[2116, 2356, 1956]"
TR-2300,"[810, 5951, 6199]"
TR-2301,"[5745, 7589, 5303]"
TR-2302,"[454, 172, 3337]"
TR-2303,"[2130, 3320, 2403]"
TR-2304,"[2815, 2306, 3571]"
TR-2305,"[2001, 3007, 2318]"
TR-2306,"[1308, 7719, 340]"
TR-2307,"[2815, 3571, 2972]"
TR-2308,"[1701, 1183, 1572]"
TR-2309,"[2282, 5957, 7827]"
TR-2310,"[7937, 2217, 3860]"
TR-2311,"[6694, 5427, 7437]"
TR-2312,"[1806, 2336, 3528]"
TR-2313,"[6217, 7368, 4587]"
TR-2314,"[199, 44, 304]"
TR-2315,"[297, 4766, 1031]"
TR-2316,"[4886, 1144, 7357]"
TR-2317,"[7368, 3172, 6237]"
TR-2318,"[8225, 3383, 1671]"
TR-2319,"[2001, 2304, 7866]"
TR-2320,"[1516, 260, 2756]"
TR-2321,"[3622, 7442, 2121]"
TR-2322,"[3242, 4997, 3382]"
TR-2323,"[204, 3144, 1684]"
TR-2324,"[7727, 7005, 7765]"
TR-2325,"[353, 2089, 2349]"
TR-2326,"[7604, 2903, 5708]"
TR-2327,"[2371, 2007, 1616]"
TR-2328,"[2802, 1968, 2736]"
TR-2329,"[1837, 925, 3212]"
TR-2330,"[2122, 6239, 807]"
TR-2331,"[5537, 7524, 3172]"
TR-2332,"[1643, 3546, 2833]"
TR-2333,"[1310, 8669, 4527]"
TR-2334,"[1433, 3127, 6027]"
TR-2335,"[1760, 7797, 7589]"
TR-2336,"[2727, 5931, 74]"
TR-2337,"[3404, 4573, 3317]"
TR-2338,"[6387, 5492, 4129]"
TR-2339,"[1782, 7225, 4483]"
TR-2340,"[1099, 3751, 8501]"
TR-2341,"[2853, 7008, 2215]"
TR-2342,"[3288, 8422, 3451]"
TR-2343,"[1741, 2543, 4564]"
TR-2344,"[5209, 7099, 7368]"
TR-2345,"[2700, 4608, 2497]"
TR-2346,"[6738, 4907, 5608]"
TR-2347,"[3131, 841, 6950]"
TR-2348,"[5696, 7556, 6807]"
TR-2349,"[2745, 166, 2369]"
TR-2350,"[2089, 3594, 6369]"
TR-2351,"[1775, 2274, 5735]"
TR-2352,"[4903, 2798, 6432]"
TR-2353,"[1864, 8756, 5865]"
TR-2354,"[8015, 8043, 6808]"
TR-2355,"[8496, 4556, 5833]"
TR-2356,"[7016, 2294, 8712]"
TR-2357,"[2116, 2298, 2168]"
TR-2358,"[5952, 2997, 5804]"
TR-2359,"[7568, 390, 712]"
TR-2360,"[6923, 973, 1100]"
TR-2361,"[3083, 2102, 5020]"
TR-2362,"[1306, 7955, 5751]"
TR-2363,"[1027, 84, 1392]"
TR-2364,"[723, 1068, 8102]"
TR-2365,"[3401, 2911, 7465]"
TR-2366,"[7912, 1465, 7319]"
TR-2367,"[674, 8435, 5318]"
TR-2368,"[2823, 7573, 441]"
TR-2369,"[2020, 4517, 2208]"
TR-2370,"[667, 2324, 122]"
TR-2371,"[3725, 7112, 7615]"
TR-2372,"[2007, 2326, 1616]"
TR-2373,"[3057, 3022, 3506]"
TR-2374,"[7363, 3100, 7615]"
TR-2375,"[1849, 3314, 1775]"
TR-2376,"[2563, 7496, 5205]"
TR-2377,"[6807, 838, 8444]"
TR-2378,"[5723, 6037, 1095]"
TR-2379,"[3592, 1266, 2061]"
TR-2380,"[5929, 8467, 5340]"
TR-2381,"[8393, 352, 7741]"
TR-2382,"[5688, 3259, 6950]"
TR-2383,"[3111, 6788, 5998]"
TR-2384,"[666, 7447, 2664]"
TR-2385,"[6378, 2237, 1023]"
TR-2386,"[339, 893, 6851]"
TR-2387,"[418, 8117, 4692]"
TR-2388,"[2733, 5633, 4789]"
TR-2389,"[2531, 7360, 3300]"
TR-2390,"[5473, 854, 1894]"
TR-2391,"[8102, 1479, 5157]"
TR-2392,"[2735, 2914, 975]"
TR-2393,"[2235, 2285, 7934]"
TR-2394,"[6408, 7133, 1990]"
TR-2395,"[3622, 2320, 664]"
TR-2396,"[7593, 7574, 4326]"
TR-2397,"[1883, 1669, 7805]"
TR-2398,"[6929, 335, 2627]"
TR-2399,"[2694, 8103, 5623]"
TR-2400,"[7007, 2290, 1354]"
TR-2401,"[8335, 4896, 632]"
TR-2402,"[1924, 3402, 4364]"
TR-2403,"[3600, 7035, 1163]"
TR-2404,"[3571, 2698, 2302]"
TR-2405,"[6359, 2538, 5530]"
TR-2406,"[392, 8047, 6042]"
TR-2407,"[8490, 3566, 7746]"
TR-2408,"[8034, 8073, 2734]"
TR-2409,"[2648, 7394, 4871]"
TR-2410,"[5310, 8175, 143]"
TR-2411,"[2465, 4567, 6209]"
TR-2412,"[8376, 3109, 997]"
TR-2413,"[2432, 1530, 2501]"
TR-2414,"[3119, 3125, 3099]"
TR-2415,"[3631, 3352, 3151]"
TR-2416,"[1210, 3455, 8474]"
TR-2417,"[8106, 1982, 2911]"
TR-2418,"[7788, 3196, 664]"
TR-2419,"[702, 5931, 586]"
TR-2420,"[7367, 487, 8672]"
TR-2421,"[6931, 3415, 7834]"
TR-2422,"[5174, 1145, 8289]"
TR-2423,"[8520, 5241, 8358]"
TR-2424,"[3514, 6606, 1778]"
TR-2425,"[7378, 4022, 3321]"
TR-2426,"[2848, 8102, 7746]"
TR-2427,"[2077, 269, 205]"
TR-2428,"[4978, 2742, 6265]"
TR-2429,"[1430, 2153, 36]"
TR-2430,"[6837, 2744, 4006]"
TR-2431,"[7134, 5283, 5840]"
TR-2432,"[2672, 2403, 2302]"
TR-2433,"[1530, 2412, 2770]"
TR-2434,"[8248, 7380, 7470]"
TR-2435,"[6903, 7662, 7236]"
TR-2436,"[2497, 2700, 7378]"
TR-2437,"[3361, 1156, 675]"
TR-2438,"[3503, 3127, 3781]"
TR-2439,"[2683, 2034, 1854]"
TR-2440,"[4141, 2687, 6924]"
TR-2441,"[7816, 7160, 5630]"
TR-2442,"[2524, 2916, 8156]"
TR-2443,"[6366, 1958, 8535]"
TR-2444,"[6144, 3442, 1888]"
TR-2445,"[5401, 4731, 2644]"
TR-2446,"[3761, 1611, 138]"
TR-2447,"[2756, 6199, 6431]"
TR-2448,"[7063, 3138, 1215]"
TR-2449,"[1650, 1510, 8049]"
TR-2450,"[2645, 2571, 5099]"
TR-2451,"[3432, 226, 1031]"
TR-2452,"[4451, 3857, 1586]"
TR-2453,"[6180, 5404, 5551]"
TR-2454,"[2574, 2610, 1317]"
TR-2455,"[2391, 3220, 901]"
TR-2456,"[6867, 413, 7112]"
TR-2457,"[2972, 3571, 5286]"
TR-2458,"[6103, 5804, 8047]"
TR-2459,"[1386, 7477, 7618]"
TR-2460,"[3216, 3200, 1908]"
TR-2461,"[3254, 2661, 3445]"
TR-2462,"[3249, 3788, 7368]"
TR-2463,"[92, 1131, 3687]"
TR-2464,"[2135, 2814, 6393]"
TR-2465,"[6559, 6930, 2947]"
TR-2466,"[2410, 4567, 6209]"
TR-2467,"[7902, 2437, 2844]"
TR-2468,"[8489, 7055, 4989]"
TR-2469,"[831, 1535, 173]"
TR-2470,"[3388, 2891, 6966]"
TR-2471,"[970, 1413, 950]"
TR-2472,"[1971, 5923, 3305]"
TR-2473,"[8494, 7746, 3552]"
TR-2474,"[7839, 8501, 1391]"
TR-2475,"[7925, 7966, 6113]"
TR-2476,"[8291, 3440, 7718]"
TR-2477,"[7689, 4329, 7135]"
TR-2478,"[545, 8376, 4243]"
TR-2479,"[7192, 8671, 7378]"
TR-2480,"[6248, 1374, 7172]"
TR-2481,"[3543, 7094, 7151]"
TR-2482,"[2231, 1762, 3218]"
TR-2483,"[7879, 234, 5895]"
TR-2484,"[6369, 4977, 3585]"
TR-2485,"[3772, 717, 3385]"
TR-2486,"[7036, 1973, 7623]"
TR-2487,"[2622, 4716, 6612]"
TR-2488,"[6761, 1055, 4137]"
TR-2489,"[3027, 2622, 2594]"
TR-2490,"[3085, 8781, 247]"
TR-2491,"[1430, 5768, 2428]"
TR-2492,"[5327, 5652, 423]"
TR-2493,"[1231, 7253, 1027]"
TR-2494,"[7295, 3036, 2853]"
TR-2495,"[2538, 8343, 7997]"
TR-2496,"[1131, 5758, 2980]"
TR-2497,"[8148, 8393, 1192]"
TR-2498,"[2700, 3879, 7989]"
TR-2499,"[2977, 7214, 507]"
TR-2500,"[6812, 7069, 8271]"
TR-2501,"[8501, 439, 1229]"
TR-2502,"[2412, 2432, 4989]"
TR-2503,"[6208, 5577, 508]"
TR-2504,"[1592, 1591, 2942]"
TR-2505,"[7136, 604, 166]"
TR-2506,"[5150, 1145, 2169]"
TR-2507,"[1769, 7655, 1416]"
TR-2508,"[7091, 2369, 3585]"
TR-2509,"[2588, 2825, 1540]"
TR-2510,"[1516, 8043, 1041]"
TR-2511,"[1663, 164, 3490]"
TR-2512,"[4479, 4527, 7019]"
TR-2513,"[4431, 4629, 5565]"
TR-2514,"[7536, 8102, 8160]"
TR-2515,"[2767, 3193, 2914]"
TR-2516,"[7593, 7574, 4346]"
TR-2517,"[8247, 6954, 5928]"
TR-2518,"[7054, 7025, 3145]"
TR-2519,"[6354, 2669, 2556]"
TR-2520,"[2994, 188, 3108]"
TR-2521,"[7345, 3463, 3215]"
TR-2522,"[1959, 1657, 1737]"
TR-2523,"[3184, 2957, 1976]"
TR-2524,"[1735, 6300, 7973]"
TR-2525,"[2441, 2916, 4583]"
TR-2526,"[7269, 6968, 3052]"
TR-2527,"[7130, 3395, 3497]"
TR-2528,"[5212, 5456, 5347]"
TR-2529,"[7649, 4141, 4046]"
TR-2530,"[2423, 1678, 240]"
TR-2531,"[2688, 3596, 7772]"
TR-2532,"[1289, 4871, 7134]"
TR-2533,"[3283, 8252, 312]"
TR-2534,"[3445, 2670, 2561]"
TR-2535,"[3640, 1295, 2680]"
TR-2536,"[3337, 2301, 6439]"
TR-2537,"[4833, 3167, 4304]"
TR-2538,"[1103, 2290, 5663]"
TR-2539,"[8343, 2494, 5546]"
TR-2540,"[3699, 8256, 2800]"
TR-2541,"[369, 1744, 5061]"
TR-2542,"[5992, 7834, 6834]"
TR-2543,"[3518, 3072, 2647]"
TR-2544,"[7099, 3795, 5471]"
TR-2545,"[3217, 4945, 6748]"
TR-2546,"[2642, 3621, 3546]"
TR-2547,"[5606, 2262, 8393]"
TR-2548,"[5936, 6960, 6893]"
TR-2549,"[1494, 6210, 1347]"
TR-2550,"[7372, 2511, 4946]"
TR-2551,"[7190, 4982, 4981]"
TR-2552,"[838, 7834, 6834]"
TR-2553,"[1692, 5798, 6974]"
TR-2554,"[4437, 5812, 8138]"
TR-2555,"[3319, 6284, 8093]"
TR-2556,"[5717, 5861, 8190]"
TR-2557,"[6354, 2669, 2518]"
TR-2558,"[2971, 8162, 2348]"
TR-2559,"[7839, 8480, 4369]"
TR-2560,"[2792, 8479, 3976]"
TR-2561,"[2324, 4833, 2349]"
TR-2562,"[2670, 2651, 3479]"
TR-2563,"[4278, 4258, 1782]"
TR-2564,"[5205, 6470, 4357]"
TR-2565,"[1741, 5099, 8577]"
TR-2566,"[3578, 3684, 2862]"
TR-2567,"[2540, 7182, 3261]"
TR-2568,"[4859, 2778, 7460]"
TR-2569,"[1589, 2002, 7980]"
TR-2570,"[456, 8452, 654]"
TR-2571,"[4737, 286, 3724]"
TR-2572,"[2645, 1799, 7176]"
TR-2573,"[4236, 6780, 8529]"
TR-2574,"[6959, 714, 5144]"
TR-2575,"[2610, 2453, 3889]"
TR-2576,"[6961, 5423, 4373]"
TR-2577,"[7705, 7086, 6052]"
TR-2578,"[3296, 4799, 5613]"
TR-2579,"[3476, 6412, 5083]"
TR-2580,"[8358, 1684, 7589]"
TR-2581,"[1513, 302, 1128]"
TR-2582,"[2093, 6171, 8019]"
TR-2583,"[3043, 1692, 1506]"
TR-2584,"[4717, 3768, 5902]"
TR-2585,"[4344, 8044, 8292]"
TR-2586,"[2172, 5836, 4363]"
TR-2587,"[3740, 8056, 85]"
TR-2588,"[888, 1095, 6758]"
TR-2589,"[2508, 2825, 1540]"
TR-2590,"[3418, 7419, 1530]"
TR-2591,"[1180, 5608, 1426]"
TR-2592,"[5503, 374, 5439]"
TR-2593,"[477, 8498, 5552]"
TR-2594,"[2979, 3047, 7641]"
TR-2595,"[3027, 3731, 2622]"
TR-2596,"[8186, 2174, 5657]"
TR-2597,"[8384, 6333, 2674]"
TR-2598,"[3413, 3474, 403]"
TR-2599,"[6529, 8096, 7114]"
TR-2600,"[3237, 3507, 338]"
TR-2601,"[5939, 712, 390]"
TR-2602,"[3100, 1987, 1100]"
TR-2603,"[6806, 458, 6100]"
TR-2604,"[4812, 7147, 4584]"
TR-2605,"[838, 5494, 7162]"
TR-2606,"[5241, 5128, 1473]"
TR-2607,"[2185, 5004, 4875]"
TR-2608,"[2907, 8176, 7621]"
TR-2609,"[3605, 529, 5641]"
TR-2610,"[3137, 2993, 3443]"
TR-2611,"[2574, 2453, 1317]"
TR-2612,"[603, 1743, 366]"
TR-2613,"[3592, 2963, 3401]"
TR-2614,"[8228, 3976, 6346]"
TR-2615,"[6205, 6157, 6131]"
TR-2616,"[5800, 6077, 5886]"
TR-2617,"[8372, 5443, 8776]"
TR-2618,"[3501, 4140, 1771]"
TR-2619,"[5843, 2202, 2201]"
TR-2620,"[7542, 6175, 7181]"
TR-2621,"[6605, 2902, 1701]"
TR-2622,"[7168, 2174, 2817]"
TR-2623,"[7839, 2473, 2594]"
TR-2624,"[2829, 7321, 5330]"
TR-2625,"[2297, 353, 954]"
TR-2626,"[6102, 8525, 530]"
TR-2627,"[586, 1723, 7918]"
TR-2628,"[543, 335, 1066]"
TR-2629,"[4495, 4066, 2558]"
TR-2630,"[95, 1022, 1126]"
TR-2631,"[7834, 5992, 6802]"
TR-2632,"[7231, 4900, 5061]"
TR-2633,"[2985, 719, 7339]"
TR-2634,"[6553, 5335, 4385]"
TR-2635,"[3613, 3366, 3430]"
TR-2636,"[6728, 8518, 2784]"
TR-2637,"[2144, 2968, 8364]"
TR-2638,"[2135, 1601, 2814]"
TR-2639,"[8269, 6793, 7291]"
