sample_id,meme_anxiety_categories
TR-2106,Lack of Worry Control
TR-1722,Difficulty Relaxing
TR-312,Irritatbily
TR-320,Restlessness
TR-304,Restlessness
TR-1170,Restlessness
TR-81,Excessive Worry
TR-301,Restlessness
TR-2338,Difficulty Relaxing
TR-334,Restlessness
TR-686,Excessive Worry
TR-1045,Nervousness
TR-2424,Nervousness
TR-1600,Lack of Worry Control
TR-1721,Lack of Worry Control
TR-587,Lack of Worry Control
TR-1696,Nervousness
TR-1409,Excessive Worry
TR-1311,Nervousness
TR-610,Nervousness
TR-1986,Excessive Worry
TR-1691,Restlessness
TR-134,Nervousness
TR-2548,Nervousness
TR-1220,Impending Doom
TR-332,Irritatbily
TR-1661,Irritatbily
TR-1878,Impending Doom
TR-369,Nervousness
TR-1835,Lack of Worry Control
TR-1128,Restlessness
TR-1784,Lack of Worry Control
TR-1136,Lack of Worry Control
TR-1543,Excessive Worry
TR-455,Lack of Worry Control
TR-1623,Difficulty Relaxing
TR-1617,Difficulty Relaxing
TR-1512,Restlessness
TR-2471,Lack of Worry Control
TR-1589,Nervousness
TR-2128,Nervousness
TR-2576,Irritatbily
TR-1874,Restlessness
TR-207,Nervousness
TR-35,Restlessness
TR-722,Restlessness
TR-1676,Irritatbily
TR-384,Irritatbily
TR-1087,Lack of Worry Control
TR-2,Impending Doom
TR-2573,Excessive Worry
TR-596,Excessive Worry
TR-1753,Restlessness
TR-2575,Impending Doom
TR-1342,Difficulty Relaxing
TR-712,Difficulty Relaxing
TR-146,Difficulty Relaxing
TR-1049,Impending Doom
TR-1602,Restlessness
TR-496,Lack of Worry Control
TR-1734,Nervousness
TR-1202,Excessive Worry
TR-1791,Difficulty Relaxing
TR-132,Nervousness
TR-2305,Lack of Worry Control
TR-875,Difficulty Relaxing
TR-1984,Impending Doom
TR-292,Difficulty Relaxing
TR-1833,Nervousness
TR-1640,Difficulty Relaxing
TR-1243,Restlessness
TR-1476,Lack of Worry Control
TR-2262,Nervousness
TR-1956,Irritatbily
TR-1644,Nervousness
TR-808,Nervousness
TR-1632,Nervousness
TR-2152,Impending Doom
TR-1108,Nervousness
TR-633,Nervousness
TR-1044,Restlessness
TR-2290,Restlessness
TR-27,Impending Doom
TR-1137,Restlessness
TR-689,Difficulty Relaxing
TR-2306,Lack of Worry Control
TR-1264,Lack of Worry Control
TR-284,Excessive Worry
TR-1501,Impending Doom
TR-913,Irritatbily
TR-669,Impending Doom
TR-1682,Lack of Worry Control
TR-506,Nervousness
TR-392,Excessive Worry
TR-1961,Impending Doom
TR-2134,Impending Doom
TR-1454,Impending Doom
TR-1929,Difficulty Relaxing
TR-1050,Excessive Worry
TR-1255,Nervousness
TR-449,Nervousness
TR-494,Difficulty Relaxing
TR-2370,Difficulty Relaxing
TR-2523,Difficulty Relaxing
TR-272,Excessive Worry
TR-1278,Impending Doom
TR-2235,Lack of Worry Control
TR-406,Lack of Worry Control
TR-730,Impending Doom
TR-1455,Restlessness
TR-2601,Restlessness
TR-2087,Restlessness
TR-1545,Nervousness
TR-2191,Difficulty Relaxing
TR-2215,Irritatbily
TR-1596,Irritatbily
TR-61,Impending Doom
TR-1192,Lack of Worry Control
TR-1841,Nervousness
TR-1738,Lack of Worry Control
TR-1176,Impending Doom
TR-1570,Restlessness
TR-684,Difficulty Relaxing
TR-1441,Difficulty Relaxing
TR-475,Restlessness
TR-1507,Impending Doom
TR-1004,Nervousness
TR-1647,Excessive Worry
TR-443,Difficulty Relaxing
TR-2196,Impending Doom
TR-2232,Nervousness
TR-1526,Excessive Worry
TR-1530,Excessive Worry
TR-462,Difficulty Relaxing
TR-1739,Impending Doom
TR-92,Restlessness
TR-89,Difficulty Relaxing
TR-346,Nervousness
TR-1608,Impending Doom
TR-907,Lack of Worry Control
TR-378,Lack of Worry Control
TR-310,Lack of Worry Control
TR-2487,Impending Doom
TR-2195,Nervousness
TR-1150,Restlessness
TR-2276,Impending Doom
TR-953,Restlessness
TR-2578,Nervousness
TR-1649,Difficulty Relaxing
TR-1842,Excessive Worry
TR-2272,Difficulty Relaxing
TR-1911,Lack of Worry Control
TR-599,Excessive Worry
TR-2222,Excessive Worry
TR-454,Impending Doom
TR-560,Impending Doom
TR-340,Irritatbily
TR-624,Excessive Worry
TR-2030,Restlessness
TR-1999,Lack of Worry Control
TR-1761,Irritatbily
TR-830,Excessive Worry
TR-162,Lack of Worry Control
TR-71,Nervousness
TR-2570,Restlessness
TR-2248,Impending Doom
TR-2428,Nervousness
TR-1411,Excessive Worry
TR-950,Impending Doom
TR-680,Excessive Worry
TR-970,Nervousness
TR-1925,Impending Doom
TR-1866,Irritatbily
TR-69,Impending Doom
TR-1684,Difficulty Relaxing
TR-415,Lack of Worry Control
TR-2535,Restlessness
TR-1300,Difficulty Relaxing
TR-778,Impending Doom
TR-1938,Nervousness
TR-2059,Restlessness
TR-104,Nervousness
TR-1583,Difficulty Relaxing
TR-652,Impending Doom
TR-63,Difficulty Relaxing
TR-2019,Excessive Worry
TR-2120,Lack of Worry Control
TR-655,Lack of Worry Control
TR-55,Restlessness
TR-2435,Difficulty Relaxing
TR-1508,Difficulty Relaxing
TR-1669,Impending Doom
TR-72,Excessive Worry
TR-1552,Nervousness
TR-2568,Lack of Worry Control
TR-2551,Difficulty Relaxing
TR-1700,Lack of Worry Control
TR-451,Difficulty Relaxing
TR-253,Difficulty Relaxing
TR-1978,Restlessness
TR-480,Nervousness
TR-1254,Restlessness
TR-2445,Nervousness
TR-2327,Excessive Worry
TR-790,Nervousness
TR-2574,Difficulty Relaxing
TR-2376,Difficulty Relaxing
TR-2127,Lack of Worry Control
TR-1609,Difficulty Relaxing
TR-706,Restlessness
TR-1917,Difficulty Relaxing
TR-1002,Difficulty Relaxing
TR-9,Irritatbily
TR-2064,Lack of Worry Control
TR-748,Impending Doom
TR-2085,Irritatbily
TR-644,Excessive Worry
TR-551,Nervousness
TR-407,Difficulty Relaxing
TR-800,Irritatbily
TR-1431,Excessive Worry
TR-1315,Difficulty Relaxing
TR-1182,Excessive Worry
TR-254,Restlessness
TR-1225,Lack of Worry Control
TR-1840,Excessive Worry
TR-2292,Impending Doom
TR-508,Restlessness
TR-1749,Nervousness
TR-2088,Nervousness
TR-1492,Nervousness
TR-2268,Lack of Worry Control
TR-747,Nervousness
TR-1355,Restlessness
TR-1215,Difficulty Relaxing
TR-239,Difficulty Relaxing
TR-1565,Impending Doom
TR-987,Lack of Worry Control
TR-571,Irritatbily
TR-1769,Restlessness
TR-115,Restlessness
TR-116,Nervousness
TR-1503,Irritatbily
TR-123,Restlessness
TR-510,Restlessness
TR-1755,Restlessness
TR-1930,Lack of Worry Control
TR-533,Lack of Worry Control
TR-1067,Excessive Worry
TR-261,Irritatbily
TR-1110,Excessive Worry
TR-1228,Lack of Worry Control
TR-2521,Lack of Worry Control
TR-2142,Difficulty Relaxing
TR-1394,Lack of Worry Control
TR-52,Excessive Worry
TR-1121,Nervousness
TR-1347,Restlessness
TR-282,Nervousness
TR-414,Impending Doom
TR-1922,Restlessness
TR-464,Nervousness
TR-2325,Restlessness
TR-774,Lack of Worry Control
TR-1094,Impending Doom
TR-2470,Nervousness
TR-265,Restlessness
TR-1357,Nervousness
TR-204,Excessive Worry
TR-716,Restlessness
TR-1811,Restlessness
TR-723,Impending Doom
TR-2397,Nervousness
TR-2594,Excessive Worry
TR-2065,Impending Doom
TR-823,Lack of Worry Control
TR-1249,Impending Doom
TR-1457,Difficulty Relaxing
TR-457,Irritatbily
TR-2036,Lack of Worry Control
TR-1689,Impending Doom
TR-2416,Nervousness
TR-1818,Lack of Worry Control
TR-2110,Impending Doom
TR-908,Restlessness
TR-2037,Restlessness
TR-404,Irritatbily
TR-828,Impending Doom
TR-1744,Impending Doom
TR-1444,Difficulty Relaxing
TR-1473,Excessive Worry
TR-1540,Excessive Worry
TR-811,Nervousness
TR-1939,Restlessness
TR-2132,Nervousness
TR-2561,Difficulty Relaxing
TR-863,Restlessness
TR-1742,Restlessness
TR-2491,Nervousness
TR-112,Irritatbily
TR-1341,Lack of Worry Control
TR-259,Restlessness
TR-1882,Lack of Worry Control
TR-158,Difficulty Relaxing
TR-854,Irritatbily
TR-807,Difficulty Relaxing
TR-2291,Difficulty Relaxing
TR-1122,Restlessness
TR-1942,Nervousness
TR-1876,Lack of Worry Control
TR-728,Lack of Worry Control
TR-2593,Excessive Worry
TR-287,Difficulty Relaxing
TR-1893,Nervousness
TR-523,Restlessness
TR-1089,Impending Doom
TR-176,Nervousness
TR-49,Restlessness
TR-2567,Lack of Worry Control
TR-2063,Difficulty Relaxing
TR-2228,Impending Doom
TR-424,Difficulty Relaxing
TR-1114,Restlessness
TR-2287,Impending Doom
TR-1350,Impending Doom
TR-927,Nervousness
TR-209,Restlessness
TR-1037,Lack of Worry Control
TR-760,Restlessness
TR-952,Nervousness
TR-1499,Restlessness
TR-1289,Irritatbily
TR-1798,Impending Doom
TR-675,Nervousness
TR-1489,Restlessness
TR-1839,Difficulty Relaxing
TR-1707,Difficulty Relaxing
TR-945,Lack of Worry Control
TR-2099,Restlessness
TR-769,Lack of Worry Control
TR-56,Difficulty Relaxing
TR-973,Restlessness
TR-1993,Difficulty Relaxing
TR-1410,Lack of Worry Control
TR-386,Lack of Worry Control
TR-1217,Restlessness
TR-1291,Nervousness
TR-986,Excessive Worry
TR-2240,Restlessness
TR-1532,Excessive Worry
TR-1263,Difficulty Relaxing
TR-833,Difficulty Relaxing
TR-816,Impending Doom
TR-216,Excessive Worry
TR-2257,Impending Doom
TR-1535,Lack of Worry Control
TR-1670,Nervousness
TR-169,Excessive Worry
TR-1960,Nervousness
TR-1597,Lack of Worry Control
TR-291,Difficulty Relaxing
TR-2372,Restlessness
TR-2454,Difficulty Relaxing
TR-859,Irritatbily
TR-898,Impending Doom
TR-1966,Difficulty Relaxing
TR-1989,Restlessness
TR-1143,Restlessness
TR-1766,Restlessness
TR-1370,Excessive Worry
TR-448,Lack of Worry Control
TR-924,Difficulty Relaxing
TR-951,Nervousness
TR-1246,Excessive Worry
TR-1852,Impending Doom
TR-1383,Restlessness
TR-2520,Impending Doom
TR-1292,Nervousness
TR-2270,Lack of Worry Control
TR-2205,Restlessness
TR-1685,Lack of Worry Control
TR-994,Impending Doom
TR-1006,Impending Doom
TR-2129,Difficulty Relaxing
TR-1016,Nervousness
TR-901,Lack of Worry Control
TR-350,Difficulty Relaxing
TR-1762,Excessive Worry
TR-1789,Excessive Worry
TR-2102,Excessive Worry
TR-1068,Irritatbily
TR-2442,Impending Doom
TR-388,Lack of Worry Control
TR-2314,Lack of Worry Control
TR-1209,Difficulty Relaxing
TR-2154,Irritatbily
TR-1936,Excessive Worry
TR-2214,Nervousness
TR-1772,Nervousness
TR-1687,Impending Doom
TR-278,Impending Doom
TR-1367,Nervousness
TR-67,Lack of Worry Control
TR-989,Nervousness
TR-1747,Impending Doom
TR-2367,Restlessness
TR-356,Restlessness
TR-1168,Excessive Worry
TR-149,Lack of Worry Control
TR-594,Difficulty Relaxing
TR-1280,Difficulty Relaxing
TR-803,Difficulty Relaxing
TR-161,Excessive Worry
TR-1549,Nervousness
TR-1713,Difficulty Relaxing
TR-2343,Excessive Worry
TR-288,Excessive Worry
TR-2348,Difficulty Relaxing
TR-1060,Nervousness
TR-1556,Lack of Worry Control
TR-567,Restlessness
TR-1286,Restlessness
TR-2153,Impending Doom
TR-530,Difficulty Relaxing
TR-2230,Irritatbily
TR-1491,Excessive Worry
TR-783,Nervousness
TR-2146,Excessive Worry
TR-419,Difficulty Relaxing
TR-98,Restlessness
TR-625,Nervousness
TR-1715,Difficulty Relaxing
TR-1466,Excessive Worry
TR-186,Lack of Worry Control
TR-1915,Excessive Worry
TR-1873,Difficulty Relaxing
TR-1557,Lack of Worry Control
TR-857,Nervousness
TR-1320,Excessive Worry
TR-1247,Difficulty Relaxing
TR-889,Lack of Worry Control
TR-471,Restlessness
TR-2335,Nervousness
TR-552,Restlessness
TR-601,Lack of Worry Control
TR-1894,Nervousness
TR-1593,Lack of Worry Control
TR-1850,Difficulty Relaxing
TR-607,Nervousness
TR-2342,Nervousness
TR-1872,Lack of Worry Control
TR-935,Impending Doom
TR-539,Impending Doom
TR-2082,Restlessness
TR-1487,Difficulty Relaxing
TR-264,Impending Doom
TR-1701,Excessive Worry
TR-155,Restlessness
TR-2031,Nervousness
TR-1864,Restlessness
TR-366,Nervousness
TR-1386,Impending Doom
TR-1862,Restlessness
TR-2426,Restlessness
TR-2478,Impending Doom
TR-189,Restlessness
TR-1260,Irritatbily
TR-163,Nervousness
TR-1358,Nervousness
TR-1185,Impending Doom
TR-1642,Nervousness
TR-2334,Nervousness
TR-576,Impending Doom
TR-1172,Lack of Worry Control
TR-285,Excessive Worry
TR-1015,Excessive Worry
TR-1014,Difficulty Relaxing
TR-844,Lack of Worry Control
TR-2604,Impending Doom
TR-1077,Restlessness
TR-1885,Excessive Worry
TR-1910,Difficulty Relaxing
TR-79,Restlessness
TR-2073,Difficulty Relaxing
TR-1333,Impending Doom
TR-558,Difficulty Relaxing
TR-1728,Difficulty Relaxing
TR-759,Impending Doom
TR-1115,Difficulty Relaxing
TR-609,Nervousness
TR-2349,Difficulty Relaxing
TR-2219,Impending Doom
TR-795,Lack of Worry Control
TR-1210,Difficulty Relaxing
TR-2281,Impending Doom
TR-1867,Restlessness
TR-1561,Nervousness
TR-2386,Restlessness
TR-520,Restlessness
TR-490,Nervousness
TR-1581,Excessive Worry
TR-969,Difficulty Relaxing
TR-247,Difficulty Relaxing
TR-114,Nervousness
TR-628,Impending Doom
TR-981,Restlessness
TR-527,Difficulty Relaxing
TR-1354,Difficulty Relaxing
TR-964,Restlessness
TR-591,Nervousness
TR-400,Nervousness
TR-2589,Impending Doom
TR-330,Nervousness
TR-988,Irritatbily
TR-1693,Lack of Worry Control
TR-2020,Restlessness
TR-2053,Restlessness
TR-1422,Excessive Worry
TR-1776,Restlessness
TR-3,Nervousness
TR-1180,Restlessness
TR-1393,Irritatbily
TR-1536,Difficulty Relaxing
TR-696,Impending Doom
TR-842,Lack of Worry Control
TR-1211,Difficulty Relaxing
TR-1389,Restlessness
TR-493,Nervousness
TR-1991,Excessive Worry
TR-1375,Nervousness
TR-1803,Excessive Worry
TR-325,Restlessness
TR-1957,Restlessness
TR-2452,Lack of Worry Control
TR-2463,Impending Doom
TR-758,Nervousness
TR-657,Nervousness
TR-914,Impending Doom
TR-1443,Difficulty Relaxing
TR-1717,Lack of Worry Control
TR-2425,Difficulty Relaxing
TR-75,Restlessness
TR-2455,Difficulty Relaxing
TR-1493,Impending Doom
TR-1335,Nervousness
TR-786,Excessive Worry
TR-1159,Excessive Worry
TR-1637,Nervousness
TR-1288,Impending Doom
TR-775,Lack of Worry Control
TR-7,Lack of Worry Control
TR-1301,Difficulty Relaxing
TR-921,Lack of Worry Control
TR-868,Restlessness
TR-1551,Difficulty Relaxing
TR-1480,Lack of Worry Control
TR-997,Impending Doom
TR-704,Excessive Worry
TR-2279,Restlessness
TR-1178,Difficulty Relaxing
TR-328,Nervousness
TR-1353,Restlessness
TR-40,Lack of Worry Control
TR-2321,Restlessness
TR-1477,Restlessness
TR-1392,Irritatbily
TR-2001,Restlessness
TR-170,Excessive Worry
TR-1620,Restlessness
TR-1069,Restlessness
TR-1614,Irritatbily
TR-843,Impending Doom
TR-777,Difficulty Relaxing
TR-878,Excessive Worry
TR-1339,Lack of Worry Control
TR-364,Lack of Worry Control
TR-954,Nervousness
TR-1786,Excessive Worry
TR-801,Impending Doom
TR-1604,Difficulty Relaxing
TR-410,Excessive Worry
TR-897,Nervousness
TR-618,Excessive Worry
TR-151,Excessive Worry
TR-1129,Restlessness
TR-2549,Lack of Worry Control
TR-87,Nervousness
TR-133,Difficulty Relaxing
TR-884,Impending Doom
TR-939,Difficulty Relaxing
TR-266,Nervousness
TR-1034,Difficulty Relaxing
TR-498,Difficulty Relaxing
TR-2234,Lack of Worry Control
TR-30,Nervousness
TR-110,Restlessness
TR-743,Difficulty Relaxing
TR-2041,Difficulty Relaxing
TR-1740,Restlessness
TR-191,Lack of Worry Control
TR-1451,Impending Doom
TR-1164,Restlessness
TR-1040,Impending Doom
TR-4,Lack of Worry Control
TR-1251,Restlessness
TR-699,Nervousness
TR-2165,Impending Doom
TR-1199,Lack of Worry Control
TR-393,Irritatbily
TR-1032,Restlessness
TR-1888,Restlessness
TR-784,Impending Doom
TR-1932,Irritatbily
TR-1054,Restlessness
TR-2464,Difficulty Relaxing
TR-2093,Impending Doom
TR-2226,Restlessness
TR-2114,Nervousness
TR-1205,Impending Doom
TR-604,Excessive Worry
TR-873,Difficulty Relaxing
TR-757,Impending Doom
TR-8,Nervousness
TR-615,Difficulty Relaxing
TR-718,Nervousness
TR-1940,Lack of Worry Control
TR-1223,Restlessness
TR-1603,Excessive Worry
TR-1528,Impending Doom
TR-849,Impending Doom
TR-1241,Lack of Worry Control
TR-1074,Lack of Worry Control
TR-679,Lack of Worry Control
TR-136,Nervousness
TR-1710,Difficulty Relaxing
TR-73,Impending Doom
TR-495,Excessive Worry
TR-382,Impending Doom
TR-1912,Impending Doom
TR-1677,Lack of Worry Control
TR-826,Excessive Worry
TR-83,Nervousness
TR-218,Restlessness
TR-1157,Impending Doom
TR-1274,Restlessness
TR-358,Restlessness
TR-2174,Nervousness
TR-1801,Impending Doom
TR-753,Nervousness
TR-2311,Impending Doom
TR-1135,Impending Doom
TR-1365,Irritatbily
TR-1525,Restlessness
TR-34,Difficulty Relaxing
TR-1678,Nervousness
TR-2591,Nervousness
TR-321,Irritatbily
TR-1695,Restlessness
TR-2091,Nervousness
TR-1905,Impending Doom
TR-1981,Nervousness
TR-654,Irritatbily
TR-2072,Nervousness
TR-1599,Restlessness
TR-688,Difficulty Relaxing
TR-1401,Difficulty Relaxing
TR-960,Impending Doom
TR-2111,Lack of Worry Control
TR-1270,Difficulty Relaxing
TR-1402,Restlessness
TR-468,Lack of Worry Control
TR-338,Difficulty Relaxing
TR-2371,Restlessness
TR-348,Lack of Worry Control
TR-1460,Difficulty Relaxing
TR-2385,Impending Doom
TR-1083,Irritatbily
TR-597,Nervousness
TR-892,Excessive Worry
TR-2571,Excessive Worry
TR-1221,Difficulty Relaxing
TR-351,Difficulty Relaxing
TR-1775,Impending Doom
TR-2340,Impending Doom
TR-262,Irritatbily
TR-2217,Nervousness
TR-919,Lack of Worry Control
TR-556,Impending Doom
TR-2241,Impending Doom
TR-2078,Difficulty Relaxing
TR-745,Nervousness
TR-93,Difficulty Relaxing
TR-2532,Nervousness
TR-2307,Lack of Worry Control
TR-111,Excessive Worry
TR-2145,Nervousness
TR-1197,Difficulty Relaxing
TR-219,Impending Doom
TR-1208,Excessive Worry
TR-2583,Impending Doom
TR-108,Lack of Worry Control
TR-1428,Impending Doom
TR-395,Impending Doom
TR-1148,Impending Doom
TR-524,Nervousness
TR-84,Impending Doom
TR-2320,Irritatbily
TR-540,Restlessness
TR-376,Excessive Worry
TR-18,Lack of Worry Control
TR-377,Restlessness
TR-491,Irritatbily
TR-1887,Excessive Worry
TR-23,Restlessness
TR-2559,Restlessness
TR-2282,Impending Doom
TR-1516,Difficulty Relaxing
TR-1788,Irritatbily
TR-2246,Nervousness
TR-2260,Nervousness
TR-2231,Difficulty Relaxing
TR-736,Excessive Worry
TR-2562,Impending Doom
TR-2450,Difficulty Relaxing
TR-1494,Lack of Worry Control
TR-1594,Difficulty Relaxing
TR-1174,Restlessness
TR-322,Lack of Worry Control
TR-1450,Nervousness
TR-850,Restlessness
TR-1242,Difficulty Relaxing
TR-1440,Nervousness
TR-1330,Restlessness
TR-1349,Impending Doom
TR-2317,Lack of Worry Control
TR-1076,Lack of Worry Control
TR-354,Difficulty Relaxing
TR-1834,Irritatbily
TR-2310,Irritatbily
TR-2556,Lack of Worry Control
TR-667,Restlessness
TR-1952,Impending Doom
TR-1771,Nervousness
TR-871,Lack of Worry Control
TR-2044,Impending Doom
TR-1702,Difficulty Relaxing
TR-1231,Irritatbily
TR-160,Difficulty Relaxing
TR-2350,Restlessness
TR-1456,Lack of Worry Control
TR-280,Excessive Worry
TR-86,Difficulty Relaxing
TR-968,Impending Doom
TR-754,Difficulty Relaxing
TR-2466,Restlessness
TR-489,Lack of Worry Control
TR-2410,Excessive Worry
TR-1639,Restlessness
TR-746,Impending Doom
TR-107,Restlessness
TR-2060,Difficulty Relaxing
TR-1138,Impending Doom
TR-535,Impending Doom
TR-619,Lack of Worry Control
TR-96,Restlessness
TR-2388,Nervousness
TR-1281,Nervousness
TR-2164,Difficulty Relaxing
TR-1,Restlessness
TR-2300,Difficulty Relaxing
TR-1259,Impending Doom
TR-294,Restlessness
TR-1778,Impending Doom
TR-2308,Difficulty Relaxing
TR-1731,Excessive Worry
TR-1453,Nervousness
TR-1576,Nervousness
TR-199,Lack of Worry Control
TR-385,Impending Doom
TR-1895,Difficulty Relaxing
TR-302,Excessive Worry
TR-2218,Nervousness
TR-47,Restlessness
TR-121,Impending Doom
TR-24,Irritatbily
TR-1519,Nervousness
TR-513,Irritatbily
TR-1336,Excessive Worry
TR-1848,Difficulty Relaxing
TR-1400,Nervousness
TR-1770,Nervousness
TR-744,Difficulty Relaxing
TR-2534,Impending Doom
TR-1498,Impending Doom
TR-2117,Impending Doom
TR-2057,Restlessness
TR-2261,Excessive Worry
TR-691,Nervousness
TR-2199,Difficulty Relaxing
TR-1650,Lack of Worry Control
TR-1955,Irritatbily
TR-1193,Restlessness
TR-2155,Excessive Worry
TR-180,Restlessness
TR-1953,Difficulty Relaxing
TR-1059,Nervousness
TR-866,Nervousness
TR-1890,Difficulty Relaxing
TR-1272,Nervousness
TR-101,Nervousness
TR-127,Difficulty Relaxing
TR-1704,Restlessness
TR-2277,Nervousness
TR-1399,Restlessness
TR-2529,Impending Doom
TR-309,Restlessness
TR-1814,Difficulty Relaxing
TR-2159,Impending Doom
TR-497,Restlessness
TR-2431,Restlessness
TR-2525,Excessive Worry
TR-2528,Lack of Worry Control
TR-1397,Nervousness
TR-2089,Irritatbily
TR-2533,Impending Doom
TR-1505,Difficulty Relaxing
TR-2043,Difficulty Relaxing
TR-1537,Nervousness
TR-1305,Difficulty Relaxing
TR-2301,Impending Doom
TR-1574,Excessive Worry
TR-639,Difficulty Relaxing
TR-431,Irritatbily
TR-2105,Impending Doom
TR-1646,Difficulty Relaxing
TR-97,Restlessness
TR-1793,Difficulty Relaxing
TR-1435,Restlessness
TR-1799,Restlessness
TR-323,Difficulty Relaxing
TR-740,Restlessness
TR-426,Restlessness
TR-708,Nervousness
TR-528,Lack of Worry Control
TR-2316,Impending Doom
TR-2415,Excessive Worry
TR-1000,Lack of Worry Control
TR-179,Lack of Worry Control
TR-2280,Nervousness
TR-1381,Nervousness
TR-1899,Difficulty Relaxing
TR-1312,Restlessness
TR-182,Lack of Worry Control
TR-2564,Restlessness
TR-1659,Impending Doom
TR-2473,Difficulty Relaxing
TR-1858,Irritatbily
TR-201,Difficulty Relaxing
TR-436,Difficulty Relaxing
TR-720,Excessive Worry
TR-2005,Excessive Worry
TR-2011,Difficulty Relaxing
TR-1667,Impending Doom
TR-2337,Nervousness
TR-794,Excessive Worry
TR-1181,Excessive Worry
TR-847,Nervousness
TR-1524,Difficulty Relaxing
TR-202,Lack of Worry Control
TR-1239,Excessive Worry
TR-1741,Impending Doom
TR-1783,Impending Doom
TR-1622,Nervousness
TR-2359,Excessive Worry
TR-606,Excessive Worry
TR-1325,Excessive Worry
TR-2122,Nervousness
TR-394,Impending Doom
TR-1213,Impending Doom
TR-932,Excessive Worry
TR-1153,Restlessness
TR-928,Irritatbily
TR-244,Lack of Worry Control
TR-2200,Nervousness
TR-1559,Lack of Worry Control
TR-2212,Nervousness
TR-270,Irritatbily
TR-2023,Restlessness
TR-1690,Lack of Worry Control
TR-1828,Impending Doom
TR-766,Excessive Worry
TR-1222,Restlessness
TR-1452,Impending Doom
TR-2192,Restlessness
TR-459,Impending Doom
TR-2081,Restlessness
TR-1297,Restlessness
TR-909,Excessive Worry
TR-2590,Restlessness
TR-142,Impending Doom
TR-1797,Impending Doom
TR-2608,Nervousness
TR-507,Excessive Worry
TR-2125,Excessive Worry
TR-2211,Impending Doom
TR-2055,Difficulty Relaxing
TR-229,Impending Doom
TR-1965,Impending Doom
TR-2341,Lack of Worry Control
TR-1123,Impending Doom
TR-2547,Restlessness
TR-177,Irritatbily
TR-771,Nervousness
TR-541,Impending Doom
TR-2147,Difficulty Relaxing
TR-1767,Irritatbily
TR-28,Restlessness
TR-1779,Lack of Worry Control
TR-152,Difficulty Relaxing
TR-2175,Lack of Worry Control
TR-2565,Nervousness
TR-2449,Difficulty Relaxing
TR-1113,Lack of Worry Control
TR-500,Difficulty Relaxing
TR-1856,Nervousness
TR-770,Restlessness
TR-2158,Excessive Worry
TR-1785,Excessive Worry
TR-2204,Restlessness
TR-573,Restlessness
TR-1266,Lack of Worry Control
TR-2346,Restlessness
TR-930,Restlessness
TR-678,Lack of Worry Control
TR-1879,Excessive Worry
TR-1191,Lack of Worry Control
TR-1149,Difficulty Relaxing
TR-156,Lack of Worry Control
TR-2086,Restlessness
TR-1095,Lack of Worry Control
TR-1028,Nervousness
TR-168,Lack of Worry Control
TR-327,Nervousness
TR-1171,Irritatbily
TR-1550,Excessive Worry
TR-1517,Difficulty Relaxing
TR-2413,Lack of Worry Control
TR-1680,Difficulty Relaxing
TR-526,Nervousness
TR-660,Lack of Worry Control
TR-2553,Difficulty Relaxing
TR-178,Nervousness
TR-337,Excessive Worry
TR-2131,Excessive Worry
TR-1515,Excessive Worry
TR-1759,Excessive Worry
TR-1189,Excessive Worry
TR-1250,Lack of Worry Control
TR-117,Restlessness
TR-1284,Impending Doom
TR-461,Nervousness
TR-2581,Difficulty Relaxing
TR-893,Difficulty Relaxing
TR-5,Restlessness
TR-2016,Irritatbily
TR-2526,Nervousness
TR-2396,Difficulty Relaxing
TR-1514,Restlessness
TR-814,Impending Doom
TR-2497,Nervousness
TR-621,Difficulty Relaxing
TR-1488,Difficulty Relaxing
TR-936,Lack of Worry Control
TR-167,Lack of Worry Control
TR-1898,Difficulty Relaxing
TR-45,Impending Doom
TR-2124,Nervousness
TR-1972,Nervousness
TR-2039,Impending Doom
TR-399,Nervousness
TR-2119,Restlessness
TR-2010,Excessive Worry
TR-43,Impending Doom
TR-1424,Restlessness
TR-2330,Impending Doom
TR-2015,Excessive Worry
TR-1479,Lack of Worry Control
TR-2137,Difficulty Relaxing
TR-2223,Restlessness
TR-373,Excessive Worry
TR-2318,Excessive Worry
TR-1756,Restlessness
TR-2498,Excessive Worry
TR-256,Lack of Worry Control
TR-1719,Lack of Worry Control
TR-2417,Impending Doom
TR-347,Excessive Worry
TR-331,Irritatbily
TR-2115,Restlessness
TR-967,Excessive Worry
TR-1671,Difficulty Relaxing
TR-1144,Impending Doom
TR-577,Irritatbily
TR-565,Difficulty Relaxing
TR-147,Nervousness
TR-1042,Restlessness
TR-379,Lack of Worry Control
TR-484,Excessive Worry
TR-942,Nervousness
TR-29,Excessive Worry
TR-268,Impending Doom
TR-516,Restlessness
TR-1038,Irritatbily
TR-2506,Impending Doom
TR-916,Restlessness
TR-344,Impending Doom
TR-2587,Impending Doom
TR-2309,Nervousness
TR-1633,Nervousness
TR-1426,Nervousness
TR-1268,Excessive Worry
TR-943,Lack of Worry Control
TR-2444,Irritatbily
TR-307,Difficulty Relaxing
TR-1390,Nervousness
TR-1086,Nervousness
TR-1007,Restlessness
TR-1161,Impending Doom
TR-2299,Impending Doom
TR-1716,Excessive Worry
TR-1348,Nervousness
TR-2108,Excessive Worry
TR-1737,Difficulty Relaxing
TR-1106,Impending Doom
TR-1318,Nervousness
TR-763,Impending Doom
TR-2103,Restlessness
